CaseMasterID,CASEChargesheetID,Fir_id,Unit_id,Dispose_Date
3213374,1349539,FIR13487,UNIT001,12-08-2024
3215271,1161534,FIR15285,UNIT001,08-01-2024
3215589,1168244,FIR15361,UNIT001,07-08-2023
3215619,1229832,FIR15372,UNIT001,08-01-2024
3216017,582180,FIR15488,UNIT001,15-04-2024
3216037,591260,FIR15500,UNIT001,NULL
2175402,983577,FIR13455,UNIT001,NULL
2278064,1649148,FIR6307,UNIT001,NULL
2330620,1879797,FIR16190,UNIT001,NULL
2487755,1779671,FIR5370,UNIT001,NULL
2489319,1251096,FIR5378,UNIT001,NULL
2492276,1508483,FIR5392,UNIT001,NULL
2495171,335247,FIR5405,UNIT001,NULL
2200726,975631,FIR13529,UNIT001,NULL
2217384,182487,FIR13781,UNIT001,NULL
2218740,1542301,FIR13786,UNIT001,NULL
2500947,749189,FIR5427,UNIT001,NULL
2501982,1542059,FIR5431,UNIT001,NULL
2327383,879211,FIR16174,UNIT001,NULL
2503434,1410676,FIR5442,UNIT001,NULL
2524519,1340449,FIR17153,UNIT001,NULL
2863167,1808491,FIR8145,UNIT001,NULL
2848633,1404992,FIR7199,UNIT001,12-09-2022
3199548,449309,FIR10755,UNIT001,NULL
3194839,291901,FIR9861,UNIT001,08-01-2024
3196355,1788512,FIR9915,UNIT001,08-04-2024
3213297,1310266,FIR13469,UNIT001,08-04-2024
3214768,834457,FIR13631,UNIT001,29-11-2024
3215000,1170098,FIR15231,UNIT001,21-07-2024
3215840,1180250,FIR15417,UNIT001,08-01-2024
3215896,1155289,FIR15434,UNIT001,06-09-2024
3215931,722790,FIR15446,UNIT001,08-01-2024
3215980,725859,FIR15462,UNIT001,29-11-2024
3215995,724024,FIR15474,UNIT001,15-04-2024
3216011,519336,FIR15484,UNIT001,29-11-2024
3216022,580148,FIR15490,UNIT001,04-08-2024
3216044,722967,FIR15503,UNIT001,15-04-2024
2511311,868763,FIR17090,UNIT001,NULL
2518031,1631363,FIR17119,UNIT001,NULL
2519906,1365993,FIR17132,UNIT001,NULL
2860291,777880,FIR8115,UNIT001,17-01-2023
3051842,1803194,FIR8997,UNIT001,28-02-2024
3207024,667285,FIR11721,UNIT001,NULL
3197647,519515,FIR9929,UNIT001,NULL
3209504,283095,FIR12546,UNIT001,14-10-2024
3201042,1928240,FIR10790,UNIT001,08-01-2024
3213059,1781197,FIR13442,UNIT001,08-01-2024
3214134,1257906,FIR13545,UNIT001,14-10-2024
3215229,1238926,FIR15274,UNIT001,NULL
3215973,641077,FIR15458,UNIT001,15-04-2024
3216013,677261,FIR15486,UNIT001,06-09-2024
2210461,1314529,FIR13560,UNIT001,NULL
2218372,68962,FIR13785,UNIT001,NULL
2275507,842073,FIR6295,UNIT001,NULL
2267989,1693262,FIR6265,UNIT001,NULL
2323692,46154,FIR16150,UNIT001,NULL
2845295,112689,FIR7177,UNIT001,NULL
2857653,1891511,FIR8088,UNIT001,NULL
2848456,1464836,FIR7197,UNIT001,12-09-2022
3049854,245966,FIR8984,UNIT001,NULL
3208948,570150,FIR11755,UNIT001,28-02-2024
3194305,501364,FIR9850,UNIT001,21-07-2024
3194811,171023,FIR9860,UNIT001,NULL
3213266,1281047,FIR13466,UNIT001,14-10-2024
3215634,1047203,FIR15376,UNIT001,08-04-2024
3215967,582182,FIR15456,UNIT001,14-10-2024
3216010,632177,FIR15483,UNIT001,15-04-2024
2268813,1736209,FIR6270,UNIT001,NULL
2276191,898067,FIR6297,UNIT001,NULL
2844543,945344,FIR7171,UNIT001,NULL
2850146,850669,FIR7218,UNIT001,NULL
2861797,192473,FIR8136,UNIT001,12-09-2022
3057721,1149068,FIR9024,UNIT001,08-04-2024
3194178,388447,FIR9847,UNIT001,NULL
3215992,616667,FIR15473,UNIT001,20-12-2024
3215991,579243,FIR15472,UNIT001,20-12-2024
3216038,634329,FIR15501,UNIT001,20-12-2024
3198988,275981,FIR10742,UNIT001,12-08-2024
3199963,291098,FIR10760,UNIT001,NULL
3201064,1912317,FIR10792,UNIT001,08-01-2024
3205124,396665,FIR11664,UNIT001,07-08-2023
3208910,577864,FIR11753,UNIT001,07-08-2023
3211330,153170,FIR12589,UNIT001,08-04-2024
2215242,1692008,FIR13611,UNIT001,NULL
2334226,1143112,FIR16215,UNIT001,NULL
2522501,956332,FIR17145,UNIT001,NULL
2524299,1322866,FIR17151,UNIT001,NULL
3215763,1088793,FIR15405,UNIT001,NULL
3215862,1173723,FIR15422,UNIT001,06-09-2024
3215978,638250,FIR15461,UNIT001,14-10-2024
3216020,632690,FIR15489,UNIT001,28-02-2024
3216031,724648,FIR15496,UNIT001,21-07-2024
3213947,1443228,FIR13521,UNIT001,NULL
3215829,1016275,FIR15415,UNIT001,15-04-2024
3215985,635388,FIR15467,UNIT001,08-01-2024
3216003,724961,FIR15479,UNIT001,NULL
3216036,516793,FIR15499,UNIT001,15-04-2024
2864784,977429,FIR17947,UNIT001,12-09-2022
2865279,784448,FIR17957,UNIT001,NULL
2865333,886686,FIR17958,UNIT001,NULL
2867294,1764630,FIR17984,UNIT001,12-09-2022
2869164,1416168,FIR18001,UNIT001,12-09-2022
2869942,751894,FIR18008,UNIT001,12-12-2022
2870280,859273,FIR18012,UNIT001,08-01-2024
2871613,655952,FIR18032,UNIT001,NULL
2872665,729249,FIR18045,UNIT001,12-09-2022
2873878,1471996,FIR18060,UNIT001,08-01-2024
2875737,225108,FIR18868,UNIT001,14-10-2024
2876170,90968,FIR18882,UNIT001,NULL
2876578,98415,FIR18893,UNIT001,08-01-2024
2876605,66427,FIR18896,UNIT001,13-03-2023
2876854,1911995,FIR18901,UNIT001,08-01-2024
2877205,1809482,FIR18918,UNIT001,28-02-2024
2877239,1783541,FIR18920,UNIT001,NULL
2877480,562436,FIR18921,UNIT001,NULL
2879187,1361382,FIR19740,UNIT001,12-09-2022
2879738,1496029,FIR19742,UNIT001,12-09-2022
2879857,273717,FIR19743,UNIT001,NULL
2879886,235866,FIR19744,UNIT001,12-09-2022
2880346,228054,FIR19752,UNIT001,24-05-2024
2880726,310148,FIR19763,UNIT001,07-08-2023
2881962,74442,FIR19787,UNIT001,02-11-2023
2882114,1584,FIR19793,UNIT001,NULL
2882566,1888141,FIR19813,UNIT001,12-12-2022
2883118,641743,FIR19816,UNIT001,12-09-2022
2883494,731186,FIR19824,UNIT001,28-02-2024
3065106,325706,FIR20666,UNIT001,08-04-2024
3072265,1888983,FIR20700,UNIT001,14-10-2024
3073749,1198140,FIR20712,UNIT001,NULL
3073749,1198141,FIR20712,UNIT001,NULL
3076052,78104,FIR20719,UNIT001,08-01-2024
3079288,1059948,FIR20735,UNIT001,08-04-2024
3216047,640922,FIR21517,UNIT001,08-01-2024
3216049,588002,FIR21519,UNIT001,08-01-2024
3216050,640924,FIR21520,UNIT001,08-01-2024
3216051,619109,FIR21521,UNIT001,07-08-2023
3216052,588003,FIR21522,UNIT001,14-10-2024
3216054,619110,FIR21524,UNIT001,06-09-2024
3216055,576014,FIR21525,UNIT001,21-07-2024
3216056,616666,FIR21526,UNIT001,10-07-2024
3216057,631628,FIR21527,UNIT001,14-10-2024
3216059,577832,FIR21528,UNIT001,15-04-2024
3216060,724645,FIR21529,UNIT001,08-01-2024
3216061,688012,FIR21530,UNIT001,29-11-2024
3216063,529749,FIR21531,UNIT001,08-01-2024
3216066,585218,FIR21532,UNIT001,14-10-2024
3216074,619576,FIR21536,UNIT001,NULL
3216077,624480,FIR21538,UNIT001,06-09-2024
3216086,626180,FIR21544,UNIT001,12-08-2024
3216091,721147,FIR21547,UNIT001,21-07-2024
3216096,718360,FIR21549,UNIT001,08-01-2024
3216099,678183,FIR21551,UNIT001,10-07-2024
3216101,619575,FIR21553,UNIT001,14-10-2024
3216104,721148,FIR21555,UNIT001,14-10-2024
3216110,619104,FIR21557,UNIT001,12-08-2024
3216116,617193,FIR21558,UNIT001,14-10-2024
3216125,619573,FIR21561,UNIT001,04-08-2024
3216145,574452,FIR21566,UNIT001,21-07-2024
3216146,521975,FIR21567,UNIT001,10-07-2024
3216147,572007,FIR21568,UNIT001,15-04-2024
3216148,625045,FIR21569,UNIT001,20-12-2024
3216154,521974,FIR21572,UNIT001,15-04-2024
