UnitID,UnitName,Latitude,Longitude
1372,Jayanagar PS,12.92849541,77.58123016
1373,Jayaprakash Nagar PS,12.91195774,77.58776856
1374,Thyagarajanagar PS,NULL,NULL
1375,Banashankari PS,12.92911434,77.56793213
1376,Basavanagudi PS,12.94211102,77.57420349
1377,SOUTH WOMEN PS,12.92912006,77.56800842
1378,Kumaraswamy Layout PS,12.90510082,77.56269836
1379,Subramanyapura PS,12.90117168,77.54420471
1380,Madivala PS,12.92116642,77.62073517
1381,Mico Layout PS,12.90859032,77.61065674
1382,Adugodi PS,12.93922043,77.61012268
1383,Koramangala PS,12.94139385,77.62132263
1384,Thilaknagar PS,12.92835426,77.59059143
1385,Siddapura PS,12.93883514,77.5923996
1386,Halasurgate PS,12.96681023,77.58716583
1387,East Women PS,12.98789501,77.60362244
1388,Wilsongarden PS,12.95009804,77.59610748
1389,Ashoknagar PS,17.32583427,76.81531525
1390,Viveknagar PS,12.95160389,77.62227631
1391,Sampangiramanagar PS,12.96303272,77.59207153
1392,S.J. Park PS,12.9609642,77.58316803
1393,Seshadripuram PS,12.9880209,77.57441711
1394,High Grounds PS,12.9897871,77.59279633
1395,Vyalikaval PS,13.0015049,77.5786438
1396,Sadashivanagar PS,13.01499939,77.57265472
1397,Vidhana Soudha PS,12.97794819,77.58818054
1398,Cubbon Park PS,12.97617626,77.59838104
1399,Pulakeshinagar  PS,12.99932385,77.61962891
1400,Commercial Street PS,12.98251343,77.60717011
1401,Bharathi Nagar PS,12.99125767,77.61215973
1402,Devarajeevanahalli PS,13.00939751,77.61029053
1403,Shivajinagar PS,NULL,NULL
1404,Bowring Hospital PS,NULL,NULL
1405,K.R. Puram PS,13.00901604,77.69329071
1406,Banaswadi PS,13.01963997,77.64009094
1407,Kadugondana Halli PS,13.01947117,77.61921692
1408,Hennur PS,13.02400398,77.64571381
1409,Ramamurthy Nagar PS,13.00421333,77.66600037
1410,Halasur PS,12.97484684,77.62533569
1411,Byappanahalli PS,12.9916172,77.65724182
1412,Indiranagar PS,12.9830513,77.63829804
1413,Jeevan Bheemanagar PS,12.96775341,77.6557312
1414,Mahadevapura PS,12.99673271,77.69282532
